feat_name,omics,imp
SOX11|6664,0,134.81782200327862
hsa-mir-205,2,130.37304411544093
GPR37L1,1,121.73520401638237
AMY1A|276,0,116.54168210059379
SLC6A15|55117,0,109.7710754252904
FABP7|2173,0,105.62534620523512
MIR563,1,100.83803124509471
SLC6A14|11254,0,100.00894367844948
hsa-mir-187,2,98.76288343765653
SLC6A2|6530,0,94.34145794443394
FGFBP1|9982,0,93.92937045012873
DSG1|1828,0,93.0447895156572
UGT8|7368,0,91.2255523570813
ANKRD45|339416,0,85.34065596305996
OR1J4,1,82.95705062468662
ATP10B,1,82.95376831113776
PI3|5266,0,81.99515007052294
hsa-mir-452,2,80.99120218382208
hsa-mir-20b,2,76.03952762809021
SERPINB5|5268,0,76.00836115637044
KRTAP3-3,1,74.87425188767703
COL11A2|1302,0,73.28210804662938
hsa-mir-224,2,72.90624705847323
FLJ41941,1,72.86740539514602
ARHGEF4|50649,0,69.61614201154087
SOX10|6663,0,68.4989485072628
TMEM207,1,68.25499921066847
CDH26,1,66.22525891392105
MT1DP,1,65.97206124023569
hsa-mir-204,2,65.64490790513024
